measure,query_id,score_x,score_y
average_precision,401,0.0452002951338,0.104108917992368
time_based_gain,401,1.0109913466583065,1.5813623787803768
ndcg_10,401,0.0947883643695507,0.2465505554475861
ndcg_1000,401,0.3428644506273989,0.4508599915629762
precision_at_10,401,0.1,0.3
precision_at_10,402,0.2,0.3
ndcg_1000,402,0.2667110229517002,0.6010138390829439
time_based_gain,402,1.310153642304652,2.5096184451158656
average_precision,402,0.0605831788448303,0.2067942314733186
ndcg_10,402,0.2934556883974402,0.3836331529183764
average_precision,404,0.0040877977897594,0.009774031563845
ndcg_1000,404,0.1442410078422149,0.1696192449566685
time_based_gain,404,5.366949824181636e-06,0.0074923293549266
precision_at_10,406,0.2,0.3
ndcg_10,406,0.3833427799846344,0.4574913952697089
average_precision,406,0.3937300990779514,0.4396255160961043
ndcg_1000,406,0.7358855436440481,0.764517207326571
time_based_gain,406,2.185685649477094,2.336814928593903
average_precision,408,0.0942996835067959,0.1360179988407215
ndcg_1000,408,0.3632481566463566,0.4618891299774534
time_based_gain,408,2.180010147984924,4.050121708716465
ndcg_10,411,0.2934556883974402,0.4440973278132557
ndcg_1000,411,0.3679229840813005,0.4743117134612171
precision_at_10,411,0.2,0.3
time_based_gain,411,1.2853540775494732,2.00505004477184
average_precision,411,0.0923297051443248,0.1775343846381666
ndcg_10,412,0.6500332220485792,0.7162874455029682
precision_at_10,412,0.7,0.8
ndcg_1000,412,0.6391172106143611,0.7300926689429996
average_precision,412,0.364133853608227,0.454290343501928
time_based_gain,412,6.011351023186716,6.458510107396664
average_precision,413,0.0101010101010101,0.0833333333333333
ndcg_1000,413,0.1505149978319906,0.2702381544273197
time_based_gain,413,0.014661026869707,0.3193749158740746
average_precision,414,0.0919928025191182,0.1054197994987468
ndcg_1000,414,0.3249563436265519,0.3438071042092895
ndcg_10,414,0.1671604549662022,0.2021073465005475
time_based_gain,417,3.4316466284172584,3.785297932063665
average_precision,417,0.3372253000175782,0.3553714247255418
ndcg_1000,417,0.7162197577395456,0.7324182930521298
ndcg_10,418,0.7222954974312066,0.727329844310522
time_based_gain,418,3.855491101688414,4.736522030442772
average_precision,418,0.1385983756174161,0.263853897967833
ndcg_1000,418,0.336147578924816,0.620267287065882
precision_at_10,419,0.2,0.3
average_precision,419,0.5084805739945334,0.5833333333333334
ndcg_10,419,0.6366824387328317,0.7541985434892589
time_based_gain,419,0.8694228752722444,1.1910675162899254
ndcg_1000,419,0.735388176477698,0.7541985434892589
ndcg_10,420,0.8521705090845474,0.8603818544462509
time_based_gain,421,0.2743065649202603,0.2901476137623177
average_precision,421,0.0174139982995278,0.0189315575735671
ndcg_1000,421,0.2431931355393481,0.2857682939133454
ndcg_1000,422,0.6469617175805904,0.6624408735034919
precision_at_10,422,0.4,0.7
average_precision,422,0.3652836722715286,0.376230300165032
time_based_gain,422,7.396194182376296,7.813951671824474
ndcg_10,422,0.3250640124440018,0.5559026721867443
average_precision,424,0.0205520567373922,0.1540758387891231
time_based_gain,424,1.9060100097260728,2.7744730632798755
ndcg_1000,424,0.1264178562993443,0.5927724966187979
ndcg_1000,425,0.5656282275044556,0.8240514791723783
ndcg_10,425,0.6316243658611127,0.762416491594312
average_precision,425,0.2847815216801742,0.4821549122854937
precision_at_10,425,0.6,0.7
time_based_gain,425,4.264865350844406,5.161658719498872
time_based_gain,426,2.2753740940589258,2.615207101292481
average_precision,426,0.0275521110333716,0.0344699286172869
ndcg_1000,426,0.1735397976295249,0.1802409445447167
average_precision,427,0.0798312703387871,0.0974045546094292
time_based_gain,427,1.2777457136704653,1.6192225689190778
ndcg_1000,427,0.3042223191763506,0.383951769201951
time_based_gain,428,0.4693664097059939,0.6007948310475547
ndcg_1000,429,0.5731303177584526,0.9223260797603764
average_precision,429,0.2812678609337491,0.7986111111111112
time_based_gain,429,0.7198147514740367,1.6970283401244413
ndcg_10,429,0.3903800499921017,0.9223260797603764
precision_at_10,429,0.1,0.4
ndcg_1000,430,0.6822750116128171,0.7499200649446184
ndcg_10,430,0.6278248466415495,0.6608397947263839
average_precision,430,0.4811325611325611,0.6202564102564103
time_based_gain,430,1.632061685287038,1.9054408071454192
ndcg_10,431,0.0,0.606439180544341
average_precision,431,0.0947311875159835,0.3172442756486662
time_based_gain,431,2.4957660233896024,3.5113425835832555
ndcg_1000,431,0.3339152824915638,0.682376360562401
precision_at_10,431,0.0,0.6
precision_at_10,436,0.3,0.7
average_precision,436,0.0374451517134904,0.0896264487587618
time_based_gain,436,2.7759266157740297,4.494976923420996
ndcg_1000,436,0.202710324735725,0.3157257871875261
ndcg_10,436,0.2528410271851773,0.7093753650484099
average_precision,438,0.0945492823955264,0.1150523296555022
ndcg_1000,438,0.4315920636632227,0.4569832347000504
time_based_gain,438,1.2912204734289996,1.47907311552001
time_based_gain,439,0.009150391407126,0.3317500507786372
average_precision,439,0.0037284958416812,0.0145903160274761
ndcg_1000,439,0.1260270992131912,0.1679936505385627
ndcg_10,441,0.738056254141509,0.7634017248465544
ndcg_1000,441,0.738056254141509,0.7634017248465544
average_precision,441,0.6079365079365079,0.6496031746031746
time_based_gain,443,1.1674187612351916,1.379900283397514
ndcg_1000,446,0.2060435971040393,0.2332640111829375
ndcg_10,450,0.2426178552850034,0.4381081808305045
precision_at_10,450,0.3,0.4
average_precision,450,0.2256557159210309,0.2436035197741299
ndcg_1000,450,0.5879927642685603,0.652579451797988
time_based_gain,450,2.852865299008825,2.883246491824857
